접근수단,시군구_격자,행정동_격자,중분류,평균_H3SFCA,중앙값_H3SFCA,격자수,평균_접근가능가맹점수
도보,강서구,염창동,음악,0.0010941375409115246,0.0008668936162669084,21,1.2857142857142858
도보,강서구,염창동,체육시설,0.008312591538243378,0.005892065489984638,119,3.689075630252101
도보,강서구,염창동,체육용품,0.0006653631243059465,0.0006653631243059465,23,1.0
도보,강서구,우장산동,도서,0.0026724608758867414,0.0024783409051093975,114,3.026315789473684
도보,강서구,우장산동,문화체험,0.0021366389884503465,0.0015342963187773189,83,2.144578313253012
도보,강서구,우장산동,영상,0.0027562119732228263,0.0028502264740044624,17,3.9411764705882355
도보,강서구,우장산동,체육시설,0.004702767080347776,0.0036972627458723936,120,5.8
도보,강서구,우장산동,체육용품,0.0011307299342252005,0.0014584192119498653,82,1.548780487804878
도보,강서구,화곡1동,도서,0.0006629239487218311,0.0006272839697107446,98,2.0714285714285716
도보,강서구,화곡1동,문화체험,0.0009162099434957343,0.0007748319036845516,63,1.6984126984126984
도보,강서구,화곡1동,체육시설,0.0033974002514692656,0.003106259920576941,119,9.126050420168067
도보,강서구,화곡1동,체육용품,0.0005406293913114221,0.0005187341996132729,71,1.4507042253521127
도보,강서구,화곡2동,도서,0.0003963961564412695,0.00038395274847954924,36,1.0
도보,강서구,화곡2동,문화체험,0.0006513522344574818,0.0006099766132651753,46,2.130434782608696
도보,강서구,화곡2동,음악,0.0004762139502301403,0.0004762139502301403,1,1.0
도보,강서구,화곡2동,체육시설,0.0024450527782263294,0.002434210586250815,46,7.1521739130434785
도보,강서구,화곡2동,체육용품,0.00033279308339698686,0.00031005933525222573,33,1.0
도보,강서구,화곡3동,도서,0.002028784889655148,0.002170258697743962,53,4.2075471698113205
도보,강서구,화곡3동,문화체험,0.001045191181168834,0.001002276751418211,52,1.9038461538461537
도보,강서구,화곡3동,체육시설,0.004545058366709192,0.0047291622989425255,54,9.12962962962963
도보,강서구,화곡3동,체육용품,0.0007631133267341985,0.000799782560017336,18,1.1111111111111112
도보,강서구,화곡4동,도서,0.00047204391260183693,0.00038395274847954924,50,1.26
도보,강서구,화곡4동,문화체험,0.0007947876668734559,0.0005997114989083836,73,1.7671232876712328
도보,강서구,화곡4동,음악,0.00036738838725111904,0.00036738838725111904,27,1.0
도보,강서구,화곡4동,체육시설,0.005244316719286338,0.0023021198234235265,85,5.0
도보,강서구,화곡4동,체육용품,0.0003480982496746881,0.00031005933525222573,68,1.0
